ap1,ap2,ap3,ap4,ap5,ap6,ap7,ap8,rp
-42,-45,-50,-52,-42,-37,-56,-50,2
-42,-44,-51,-53,-42,-36,-56,-50,2
-43,-44,-50,-52,-43,-37,-56,-47,2
-43,-43,-50,-52,-43,-36,-56,-48,2
-42,-45,-50,-51,-43,-37,-56,-48,2
-42,-44,-50,-51,-42,-36,-56,-48,2
-42,-44,-50,-52,-43,-37,-55,-48,2
-42,-45,-49,-51,-42,-37,-56,-49,2
-43,-44,-50,-52,-42,-37,-56,-49,2
-42,-45,-50,-54,-42,-36,-54,-50,2
-42,-43,-50,-53,-43,-36,-55,-50,2
-43,-45,-49,-52,-43,-36,-56,-50,2
-43,-44,-50,-52,-36,-37,-55,-49,2
-43,-44,-51,-54,-43,-37,-55,-49,2
-42,-43,-52,-52,-43,-37,-56,-49,2
-42,-44,-50,-54,-42,-37,-57,-49,2
-43,-44,-50,-52,-42,-37,-56,-51,2
-42,-43,-49,-52,-42,-36,-55,-50,2
-42,-43,-49,-53,-43,-36,-54,-48,2
-42,-44,-51,-51,-42,-36,-54,-50,2
-43,-43,-48,-51,-42,-37,-56,-50,2
-41,-44,-49,-52,-43,-36,-56,-50,2
-42,-44,-48,-55,-43,-34,-54,-49,2
-42,-44,-49,-51,-42,-32,-56,-51,2
-43,-44,-49,-52,-42,-36,-56,-49,2
-42,-43,-50,-52,-42,-36,-56,-49,2
-40,-44,-49,-51,-42,-35,-55,-48,2
-43,-43,-49,-51,-42,-37,-56,-48,2
-42,-43,-49,-51,-36,-37,-55,-49,2
-43,-37,-46,-54,-52,-29,-50,-50,3
-43,-38,-46,-54,-52,-29,-49,-51,3
-45,-38,-47,-53,-54,-30,-51,-53,3
-44,-39,-48,-54,-53,-30,-49,-52,3
-44,-38,-47,-54,-54,-30,-49,-53,3
-44,-38,-47,-53,-54,-30,-50,-52,3
-44,-39,-48,-55,-53,-29,-50,-52,3
-44,-38,-47,-55,-54,-29,-49,-51,3
-45,-39,-47,-54,-54,-31,-50,-51,3
-45,-38,-47,-54,-53,-30,-51,-52,3
-44,-38,-48,-55,-53,-31,-50,-52,3
-48,-38,-46,-54,-53,-31,-50,-52,3
-44,-39,-47,-54,-53,-30,-49,-52,3
-47,-38,-47,-54,-54,-30,-50,-51,3
-45,-38,-47,-54,-55,-31,-49,-52,3
-45,-38,-47,-54,-54,-30,-50,-52,3
-45,-39,-47,-53,-53,-29,-51,-52,3
-45,-38,-47,-53,-55,-30,-51,-51,3
-44,-39,-48,-54,-53,-29,-50,-51,3
-45,-39,-46,-54,-55,-31,-50,-50,3
-43,-37,-44,-53,-53,-29,-48,-48,3
-45,-39,-47,-55,-54,-31,-50,-50,3
-45,-38,-47,-55,-54,-31,-50,-49,3
-44,-39,-47,-54,-53,-30,-51,-50,3
-45,-39,-47,-54,-54,-30,-49,-50,3
-45,-38,-48,-54,-52,-30,-49,-51,3
-46,-39,-47,-52,-54,-30,-49,-49,3
-45,-38,-49,-54,-54,-30,-49,-51,3
-44,-39,-47,-54,-51,-30,-51,-51,3
-45,-38,-46,-54,-53,-30,-50,-51,3
-45,-39,-47,-52,-54,-31,-50,-49,3
-45,-38,-47,-52,-54,-30,-50,-49,3
-45,-38,-48,-53,-54,-30,-49,-50,3
-47,-39,-47,-55,-55,-32,-50,-50,3
-45,-38,-47,-54,-54,-31,-50,-51,3
-46,-39,-48,-54,-55,-31,-50,-51,3
-47,-39,-48,-53,-54,-30,-51,-51,3
-45,-39,-48,-56,-54,-31,-51,-50,3
-46,-39,-48,-55,-54,-31,-50,-51,3
-46,-39,-48,-55,-54,-30,-50,-50,3
-45,-39,-48,-53,-55,-30,-51,-50,3
-44,-38,-47,-52,-54,-30,-50,-51,3
